timestamp,frame_total_ms,undistort_ms,backend_ms,publish_ms
1555.599355,100.309,3.984,95.412,0.740
1555.699204,84.054,4.164,78.887,0.834
1555.799462,103.668,4.156,98.552,0.775
1555.899311,89.765,4.050,84.758,0.784
1555.999141,109.471,3.976,104.547,0.782
1556.099775,95.114,4.064,90.047,0.833
1556.199605,118.857,4.024,113.919,0.748
1556.299445,107.153,4.100,102.068,0.818
1556.399285,99.658,3.996,94.734,0.756
1556.499126,126.764,3.992,121.725,0.875
1556.599757,85.794,4.073,80.742,0.806
1556.699586,104.208,4.185,98.823,1.031
1556.799417,109.084,4.250,103.787,0.771
1556.899252,189.892,4.073,183.504,2.120
1556.999484,151.788,4.225,146.389,0.745
1557.099317,105.715,3.986,99.940,1.602
1557.199158,138.819,4.206,133.705,0.707
1557.299794,78.321,4.021,73.393,0.742
1557.399631,105.617,3.996,100.697,0.756
1557.499481,114.316,4.031,108.959,1.157
1557.599316,134.195,4.140,128.960,0.917
1557.699153,107.769,5.684,101.126,0.787
1557.799787,90.818,4.022,85.820,0.794
1557.899627,90.407,4.210,84.817,1.179
1557.999458,109.494,4.203,104.367,0.754
1558.099298,87.190,4.072,81.379,1.555
1558.199135,85.891,4.010,80.236,1.472
1558.299782,101.390,4.007,95.956,1.243
1558.399624,104.577,4.096,99.356,0.846
1558.499455,88.911,4.222,83.617,0.904
1558.599293,112.341,4.154,106.984,0.979
1558.699124,104.575,3.983,99.574,0.846
1558.799773,113.076,5.742,106.410,0.756
1558.899617,117.722,3.982,112.695,0.866
1558.999444,114.464,3.991,109.565,0.743
1559.099293,93.379,4.174,88.225,0.813
1559.199124,115.037,4.046,110.077,0.746
1559.299772,97.334,4.181,92.161,0.822
1559.399620,132.375,4.004,127.386,0.815
1559.499476,144.565,4.059,138.741,1.552
1559.599308,115.053,4.000,110.158,0.693
1559.699137,142.398,4.190,136.214,1.797
1559.799760,124.949,4.212,119.749,0.706
1559.899604,98.921,4.027,93.841,0.861
1559.999440,152.380,4.106,146.840,1.250
1560.099285,144.226,5.860,137.331,0.815
1560.199138,136.751,4.182,131.111,1.256
1560.299765,136.743,3.979,131.476,1.092
1560.399608,108.130,4.047,102.647,1.147
1560.499449,129.624,4.157,124.492,0.810
1560.599278,106.054,3.984,101.119,0.780
1560.699121,148.507,5.734,140.982,1.595
1560.799771,110.796,4.185,105.608,0.796
1560.899620,107.336,4.008,101.777,1.379
1560.999461,166.538,4.156,160.773,1.396
1561.099300,130.916,4.240,125.391,1.063
1561.199127,117.474,4.229,111.760,1.308
1561.299741,91.447,4.028,86.444,0.772
1561.399593,105.316,3.993,100.356,0.782
1561.499425,139.943,3.994,134.273,1.485
1561.599266,99.929,4.021,94.998,0.710
