timestamp,total_ms,feature_extract_ms
1305.799349,24.726,24.411
1305.899994,26.475,26.125
1305.999829,25.986,25.667
1306.099669,27.703,27.249
1306.199509,23.947,23.615
1306.299348,25.510,25.149
1306.399992,25.165,24.877
1306.499840,25.130,24.822
1306.599670,25.693,25.198
1306.699506,30.992,30.323
1306.799345,25.184,24.869
1306.899979,23.655,23.324
1306.999820,32.384,31.593
1307.099640,25.972,25.711
1307.199482,23.980,23.615
1307.299324,30.607,29.773
1307.399958,32.455,32.201
1307.499791,23.227,22.989
1307.599641,27.693,26.947
1307.699472,36.434,35.198
1307.799317,23.652,23.208
1307.899948,33.025,32.136
1307.999780,34.262,32.907
1308.099627,25.841,25.589
1308.199473,26.812,25.798
1308.299320,36.908,36.576
1308.399953,25.270,24.976
1308.499796,24.473,24.184
1308.599644,25.578,25.182
1308.699486,26.162,25.798
1308.799328,28.382,28.027
1308.899964,25.544,25.209
1308.999800,26.044,25.670
1309.099645,26.376,25.999
1309.199492,28.089,27.684
1309.299326,26.243,25.907
1309.399980,23.202,22.837
1309.499819,27.230,26.845
1309.599651,26.013,25.665
1309.699491,25.488,25.150
1309.799319,24.587,24.244
1309.899972,25.095,24.784
1309.999818,24.925,24.587
1310.099659,25.741,25.410
1310.199487,24.756,24.417
1310.299320,24.610,24.289
1310.399948,26.428,25.541
1310.499790,24.502,24.137
1310.599647,25.250,24.777
1310.699492,26.910,26.436
1310.799328,27.623,26.866
1310.899950,28.392,27.888
1310.999783,25.118,24.613
1311.099617,26.020,25.692
1311.199459,28.518,28.207
1311.299282,25.575,25.190
1311.399920,28.184,27.504
1311.499758,27.888,27.575
1311.599589,25.873,25.491
1311.699421,25.497,25.199
1311.799660,24.362,23.887
1311.899502,27.840,27.504
1311.999331,24.521,24.185
1312.099975,26.209,25.857
1312.199822,25.029,24.659
1312.299644,24.644,24.295
1312.399489,31.581,31.181
1312.499329,28.172,27.806
1312.599973,32.169,31.090
1312.699839,24.887,24.556
1312.799680,24.773,24.304
1312.899515,25.376,25.043
1312.999351,26.148,25.791
1313.099611,25.223,24.903
1313.199453,36.648,36.340
1313.299292,26.919,26.594
1313.399938,25.483,25.132
1313.499779,26.299,25.645
1313.599617,24.769,24.442
1313.699454,29.574,29.090
1313.799293,26.404,25.983
1313.899941,24.534,24.260
1313.999797,34.033,33.360
1314.099639,25.812,25.439
1314.199473,23.907,23.597
1314.299319,24.327,24.026
1314.399945,25.705,25.286
1314.499779,22.658,22.294
1314.599608,22.762,22.409
1314.699446,23.355,23.032
1314.799281,23.136,22.827
1314.899920,25.692,25.326
1314.999750,21.341,20.948
1315.099606,21.847,21.557
1315.199436,22.479,22.107
1315.299283,21.615,21.341
1315.399920,22.574,22.206
1315.499769,22.891,22.562
1315.599623,22.484,22.081
1315.699457,21.640,21.365
1315.799287,22.896,22.459
1315.899921,32.204,31.796
1315.999759,22.946,22.639
1316.099608,22.313,21.979
1316.199441,23.655,23.320
1316.299312,33.101,32.731
1316.399932,23.918,23.634
1316.499775,27.334,26.738
1316.599611,21.776,21.488
1316.699447,24.787,24.553
1316.799287,24.000,23.685
1316.899915,28.671,28.378
1316.999754,21.093,20.783
1317.099611,19.444,19.126
1317.199444,26.074,25.770
1317.299299,28.012,27.722
1317.399929,28.957,28.568
1317.499754,24.833,24.524
1317.599592,23.859,23.585
1317.699442,23.333,22.996
1317.799677,24.741,24.205
1317.899515,26.816,26.515
1317.999360,23.637,23.229
1318.099609,25.214,24.833
1318.199467,24.032,23.713
1318.299299,24.122,23.723
1318.399927,24.488,24.213
1318.499755,23.380,23.002
1318.599605,23.989,23.634
1318.699447,23.611,23.333
1318.799677,27.576,27.240
1318.899508,24.257,23.893
1318.999359,24.850,24.330
1319.099990,24.210,23.822
1319.199848,24.661,24.329
1319.299678,27.841,27.526
1319.399517,25.196,24.758
1319.499351,29.901,29.521
1319.599997,26.138,25.836
1319.699831,25.818,25.531
1319.799652,23.107,22.771
1319.899487,24.457,24.154
1319.999321,24.461,23.946
1320.099965,23.719,23.314
1320.199812,24.271,23.995
1320.299664,27.730,27.275
1320.399507,24.198,23.856
1320.499357,25.575,25.244
1320.599997,24.466,24.005
1320.699834,24.564,24.218
1320.799665,24.152,23.791
1320.899497,24.303,23.690
1320.999335,24.024,23.634
1321.099983,25.139,24.802
1321.199826,24.391,23.998
1321.299661,24.699,24.300
1321.399508,24.417,24.066
1321.499352,24.133,23.795
1321.599978,24.853,24.539
1321.699814,26.363,26.020
1321.799667,26.818,26.473
1321.899499,32.252,31.423
1321.999342,25.088,24.878
1322.099987,24.278,23.934
1322.199832,29.346,29.101
1322.299665,24.367,23.970
1322.399493,27.941,26.566
1322.499334,54.685,54.281
1322.599973,26.278,25.949
1322.699826,23.412,23.079
1322.799642,27.895,27.526
1322.899482,25.941,25.591
1322.999309,24.722,24.232
1323.099954,24.264,23.940
1323.199795,36.509,34.513
1323.299635,23.090,22.819
1323.399484,34.134,33.777
1323.499326,44.624,43.897
1323.599964,23.417,23.177
1323.699811,48.336,48.034
1323.799654,28.867,28.558
1323.899496,28.157,27.744
1323.999322,27.046,26.467
1324.099971,38.823,38.013
1324.199807,23.392,23.149
1324.299658,25.905,25.055
1324.399505,32.513,31.776
1324.499348,24.161,23.917
1324.599990,29.699,29.372
1324.699830,33.151,32.112
1324.799672,23.474,23.149
1324.899511,24.071,23.619
1324.999357,34.819,33.673
1325.099617,23.263,23.010
1325.199472,28.071,26.145
1325.299314,32.904,32.251
1325.399948,31.173,30.924
1325.499774,29.326,28.942
1325.599629,23.585,23.310
1325.699476,28.532,28.266
1325.799306,25.408,25.065
1325.899944,25.248,24.769
1325.999786,23.900,23.637
1326.099623,25.739,25.397
1326.199468,24.249,23.940
1326.299305,27.736,27.402
1326.399937,25.730,25.420
1326.499779,23.650,23.340
1326.599617,24.110,23.700
1326.699465,26.441,26.123
1326.799304,26.172,25.482
1326.899946,27.165,26.725
1326.999788,26.124,25.793
1327.099639,29.370,28.969
1327.199480,30.951,30.406
1327.299323,25.253,24.887
1327.399945,24.061,23.718
1327.499788,24.905,24.378
1327.599627,25.677,25.372
1327.699471,23.524,23.207
1327.799311,26.535,25.568
1327.899965,23.831,23.521
1327.999783,24.325,24.007
1328.099620,26.058,25.774
1328.199466,25.020,24.723
1328.299311,34.266,33.829
1328.399941,27.707,27.220
1328.499788,32.747,32.445
1328.599613,25.151,24.835
1328.699458,24.182,23.905
1328.799305,25.456,24.885
1328.899949,26.598,26.274
1328.999795,27.255,26.805
1329.099640,26.082,25.771
1329.199489,25.003,24.620
1329.299320,26.558,26.236
1329.399977,26.035,25.622
1329.499818,25.285,24.951
1329.599655,25.982,25.474
1329.699496,25.467,25.158
1329.799324,25.350,24.542
1329.899982,25.401,25.020
1329.999822,28.010,27.606
1330.099662,24.343,24.049
1330.199500,25.759,25.379
1330.299345,24.391,23.893
1330.399987,26.097,25.748
1330.499827,25.854,25.556
1330.599683,25.229,24.741
1330.699511,25.168,24.904
1330.799359,26.163,25.784
1330.899605,26.602,26.282
1330.999446,26.921,26.600
1331.099294,24.018,23.748
1331.199936,26.160,25.873
1331.299782,27.295,27.027
1331.399618,26.420,26.105
1331.499459,25.117,24.808
1331.599302,25.403,24.884
1331.699928,25.360,24.759
1331.799767,26.945,26.570
1331.899602,25.201,24.882
1331.999440,24.263,23.937
1332.099290,26.717,26.425
1332.199929,25.544,25.255
1332.299761,26.121,25.737
1332.399614,28.763,28.207
1332.499451,28.639,28.337
1332.599299,41.465,41.158
1332.699944,26.525,26.228
1332.799800,27.756,27.453
1332.899653,30.881,30.588
1332.999514,26.697,26.382
1333.099357,28.511,28.186
1333.199994,26.273,25.924
1333.299849,27.927,27.517
1333.399697,26.789,26.425
1333.499540,27.985,27.457
1333.599377,35.244,34.934
1333.699611,26.020,25.595
1333.799469,22.801,22.501
1333.899314,26.831,26.367
1333.999952,24.963,24.462
1334.099788,21.835,21.501
1334.199638,23.288,22.866
1334.299482,24.007,23.732
1334.399326,26.061,25.581
1334.499958,22.439,22.110
1334.599793,23.239,22.908
1334.699638,23.524,23.238
1334.799478,31.048,29.936
1334.899333,23.611,23.326
1334.999982,24.932,24.637
1335.099811,39.464,37.372
1335.199641,23.241,23.004
1335.299488,25.450,25.102
1335.399332,25.377,24.927
1335.499969,25.010,24.682
1335.599806,24.698,24.407
1335.699660,27.345,26.977
1335.799499,26.339,25.940
1335.899337,25.560,25.255
1335.999988,23.779,23.507
1336.099817,24.133,23.804
1336.199664,24.200,23.874
1336.299501,24.074,23.784
1336.399328,26.144,25.873
1336.499973,29.985,29.708
1336.599795,23.709,23.195
1336.699644,24.585,24.238
1336.799482,26.521,26.192
1336.899336,24.223,23.929
1336.999974,30.486,29.955
1337.099806,25.706,25.332
1337.199637,25.440,25.005
1337.299473,25.425,25.149
1337.399311,26.587,26.171
1337.499959,25.725,25.400
1337.599810,24.484,24.165
1337.699649,25.859,25.403
1337.799483,25.102,24.640
1337.899320,25.507,25.177
1337.999948,26.897,24.259
1338.099790,25.085,24.799
1338.199625,23.970,23.685
1338.299460,29.129,28.809
1338.399319,24.924,24.599
1338.499954,27.472,27.038
1338.599799,34.460,33.766
1338.699631,22.738,22.436
1338.799470,37.000,36.650
1338.899313,32.747,31.675
1338.999968,30.945,30.685
1339.099807,24.089,23.768
1339.199641,40.193,39.463
1339.299495,22.942,22.567
1339.399342,24.525,23.970
1339.499989,31.165,30.269
1339.599841,23.416,23.162
1339.699680,25.022,24.682
1339.799518,31.286,30.569
1339.899361,23.036,22.778
1339.999993,24.471,24.150
1340.099826,31.329,30.436
1340.199675,23.996,23.741
1340.299508,25.260,24.796
1340.399355,32.064,31.429
1340.499997,24.323,24.082
1340.599842,25.519,25.195
1340.699670,40.576,39.622
1340.799513,24.042,23.784
1340.899366,24.326,23.982
1340.999608,34.583,33.486
1341.099459,22.548,22.304
1341.199312,27.987,27.683
1341.299945,36.309,34.697
1341.399785,31.147,30.752
1341.499628,22.629,22.406
1341.599464,26.430,25.847
1341.699304,32.120,30.670
1341.799959,24.181,23.841
1341.899801,35.361,34.535
1341.999650,25.448,25.190
1342.099494,24.087,23.761
1342.199345,34.507,33.541
1342.299997,22.883,22.646
1342.399821,24.590,24.307
1342.499651,45.852,44.936
1342.599491,26.058,25.819
1342.699327,32.179,31.478
1342.799983,34.851,34.429
1342.899817,23.374,23.144
1342.999647,26.900,26.222
1343.099475,29.783,29.167
1343.199320,30.276,29.401
1343.299964,24.172,23.948
1343.399798,24.238,23.852
1343.499624,26.231,25.910
1343.599455,27.251,26.889
1343.699288,29.459,29.152
1343.799918,24.285,23.811
1343.899758,27.036,26.711
1343.999616,26.675,26.059
1344.099455,24.629,24.364
1344.199282,26.678,26.175
1344.299928,30.724,30.268
1344.399767,23.836,23.567
1344.499614,24.713,24.399
1344.599455,24.378,24.094
1344.699314,24.041,23.610
1344.799952,23.967,23.685
1344.899777,24.472,24.033
1344.999624,31.035,30.688
1345.099469,24.455,23.980
1345.199301,30.449,29.749
1345.299937,22.704,22.435
1345.399780,23.357,23.009
1345.499600,33.323,32.344
1345.599432,25.123,24.883
1345.699674,32.169,31.603
1345.799527,25.884,25.449
1345.899365,33.454,33.127
1345.999602,24.811,24.490
1346.099433,24.442,24.083
1346.199670,24.171,23.901
1346.299511,29.084,28.254
1346.399357,23.791,23.508
1346.499989,32.633,32.362
1346.599824,31.961,30.923
1346.699670,23.026,22.788
1346.799516,24.892,24.561
1346.899345,24.741,24.277
1346.999977,24.341,24.032
1347.099824,26.610,26.277
1347.199654,24.837,24.573
1347.299494,24.423,23.833
